trajectories1,trajectories2
1838.618,682.198
1871.652,695.548
1870.706,656.192
1871.150,641.577
1870.147,636.033
1878.890,671.565
1888.156,693.384
1891.585,699.762
1822.956,737.172
1808.492,803.606
1818.815,849.478
1862.195,911.236
1894.607,917.547
1900.114,979.395
1887.899,1025.989
1853.612,1157.153
1844.830,1217.718
1841.803,1276.584
1762.882,1393.640
1541.645,1500.907
1518.352,1522.499
1512.455,1527.229
1513.558,1552.581
1483.812,1562.331
1369.506,1592.413
1261.521,1564.082
1251.375,1559.096
1327.485,1500.598
1355.203,1541.765
1324.382,1604.379
1366.310,1649.057
1361.090,1516.715
1357.726,1482.267
1449.206,1426.365
1500.497,1423.443
1709.365,1403.510
1763.677,1458.011
1802.694,1376.716
1855.339,1259.341
1826.875,1167.813
1888.667,1176.013
1860.902,1295.735
1798.251,1233.709
1839.124,1143.544
1915.209,964.392
1840.895,883.933
1871.590,807.375
1811.466,702.828
1852.803,699.350
1907.067,818.275
1850.366,878.518
1854.719,945.862
1926.300,867.515
1814.105,704.372
1663.590,595.649
1698.916,373.155
1612.159,521.170
1685.159,574.118
1708.430,380.845
1541.837,244.490
1468.699,199.886
nan,nan
nan,nan
nan,nan
1270.208,154.746
907.801,1949.653
1384.497,252.073
1543.226,343.200
1656.167,354.278
1757.232,448.706
1743.863,553.003
1782.375,637.692
1758.123,543.258
1713.241,393.329
1422.120,229.775
1275.511,170.832
1107.423,119.139
926.818,150.396
889.012,155.868
903.292,117.679
866.515,126.166
nan,nan
949.962,90.602
960.343,88.977
972.528,196.666
889.012,105.458
nan,nan
758.400,147.348
681.371,187.257
584.756,238.609
421.610,328.101
353.482,390.080
342.445,430.505
364.299,489.146
415.361,583.732
401.204,672.376
237.321,766.031
129.543,781.451
184.352,802.242
175.752,805.750
195.818,708.515
140.401,830.508
131.130,905.172
152.571,940.673
137.394,1029.392
174.077,1139.384
213.271,1274.883
305.357,1318.393
333.897,1436.967
511.070,1570.435
585.546,1691.873
544.954,1591.862
587.502,1679.423
548.325,1796.059
1500.253,1827.755
nan,nan
nan,nan
767.350,1928.293
nan,nan
1808.847,1448.557
1844.272,1380.894
1857.791,1348.478
1879.120,1261.115
1875.185,1230.672
1887.424,1206.510
1834.447,1199.329
