trajectories1,trajectories2
827.270,825.391
777.241,796.116
779.946,793.549
834.440,746.902
886.900,786.061
964.773,907.169
967.157,920.013
966.176,923.298
965.886,927.270
965.705,930.079
963.698,930.668
965.400,934.203
965.606,938.571
975.284,939.001
974.833,940.380
974.490,941.663
971.426,943.309
977.119,941.564
979.306,942.320
984.958,942.412
983.681,943.263
986.585,944.010
984.905,944.796
999.237,968.516
1004.627,984.631
1042.475,1069.700
1123.209,1144.095
1167.248,1176.443
1177.516,1209.631
1183.097,1210.405
1187.912,1207.923
1240.556,1234.944
1250.953,1230.188
1268.165,1297.727
1281.936,1372.597
1289.591,1487.447
1249.162,1627.780
1274.334,1751.597
1337.997,1799.175
1359.781,1819.016
1357.967,1877.243
1318.128,1851.482
1313.942,1847.220
1315.341,1788.013
1283.941,1756.752
1276.197,1743.555
1263.690,1722.535
1237.431,1663.727
1215.194,1603.778
1176.486,1516.945
1144.810,1444.848
1167.085,1352.614
1182.151,1307.469
1262.552,1350.288
1311.766,1435.864
1370.190,1503.611
1463.670,1529.326
1521.551,1521.156
1588.187,1483.701
1646.536,1536.006
1728.426,1542.691
1729.514,1542.153
1718.566,1579.712
1699.232,1457.719
1724.579,1449.802
1800.921,1535.648
1779.915,1439.829
1697.537,1403.239
1572.741,1429.855
1465.240,1362.243
1373.198,1193.706
1331.794,1146.428
1241.856,1112.321
1163.037,1096.651
1096.845,1086.088
1068.433,1033.043
999.238,926.935
953.200,857.160
927.500,776.953
928.782,777.225
881.353,760.385
816.088,711.009
732.654,591.354
680.803,525.378
664.617,416.279
616.477,335.090
529.615,304.609
516.150,299.757
465.044,339.168
449.234,307.080
409.243,360.838
481.327,395.055
521.128,448.925
573.833,537.028
575.504,704.854
587.259,791.429
577.012,899.631
573.043,930.784
572.911,928.459
571.709,928.676
570.816,929.056
569.238,927.213
569.784,928.887
552.156,947.773
538.095,960.815
490.989,1000.101
367.240,1047.782
302.848,1066.133
254.163,1138.674
201.745,1194.899
194.155,1265.596
255.617,1294.983
302.020,1280.007
377.945,1279.988
429.260,1333.247
510.691,1353.790
570.517,1377.455
642.536,1367.213
831.180,1370.509
936.432,1390.772
1032.451,1424.767
1117.898,1434.982
1223.985,1440.471
1339.736,1471.956
1500.976,1525.430
1592.385,1545.456
1686.305,1550.458
1753.009,1502.208
1711.076,1556.425
1681.562,1436.644
1595.807,1343.637
1668.088,1227.782
1752.510,1190.007
1793.061,1113.278
1768.137,1040.379
1694.154,1061.457
1594.128,1008.559
1535.737,965.631
1474.731,836.637
1482.269,708.620
1526.348,626.300
1498.896,506.975
1426.921,393.478
1408.667,357.618
1344.479,264.166
1341.892,245.698
1365.189,226.881
1375.491,147.137
1290.770,191.599
1264.830,219.044
1241.716,283.519
1230.006,356.990
1195.888,446.229
1108.808,542.001
1037.259,592.836
940.075,648.258
803.608,738.054
682.481,862.333
605.250,950.199
587.189,1082.311
579.251,1162.118
578.387,1275.460
587.625,1392.287
558.732,1536.025
505.356,1610.327
476.177,1697.906
479.738,1767.172
483.782,1777.188
552.824,1757.389
597.640,1689.111
694.167,1665.375
744.718,1709.738
810.472,1774.869
901.861,1809.711
967.986,1814.332
1039.337,1904.515
1028.950,1952.641
958.680,1935.325
1024.156,1763.641
1023.951,1638.315
1003.799,1533.429
872.328,1409.020
780.643,1351.522
664.140,1305.098
566.222,1263.108
382.330,1216.437
331.536,1214.751
218.756,1132.886
202.858,1125.256
165.716,1073.304
255.638,1023.016
361.487,982.109
460.697,924.798
534.767,724.530
520.264,617.946
479.608,530.309
524.312,445.414
489.206,315.444
566.990,306.340
645.911,337.599
849.629,329.526
928.314,245.449
924.154,152.493
1007.188,133.677
1178.377,246.757
1269.403,190.701
1301.749,121.536
1351.598,191.103
1364.214,303.568
1494.368,362.059
1573.004,314.574
1662.070,434.128
1687.530,519.187
1773.610,616.765
1827.044,692.332
1811.135,759.830
1717.575,863.668
1748.797,1019.209
1844.691,1083.502
1863.387,1145.516
1832.466,1263.345
1805.664,1405.257
1770.584,1478.769
1703.727,1542.013
1681.178,1655.625
1630.119,1699.996
1562.283,1665.256
1519.573,1521.217
1492.647,1420.023
1449.738,1342.849
1373.508,1216.723
1263.985,1112.026
1134.588,1045.969
990.674,1070.573
893.977,1153.957
779.271,1168.126
721.070,1134.483
647.960,1078.550
479.434,1039.490
381.029,1018.721
276.088,1054.140
231.338,1135.003
159.398,1159.264
83.312,1203.600
168.484,1123.562
228.852,990.585
222.469,905.463
152.590,832.384
200.350,766.264
262.107,681.954
297.790,503.908
356.602,453.123
546.740,414.235
734.720,323.085
832.179,265.039
946.781,162.026
964.765,100.491
1063.832,122.554
1212.248,248.396
1269.588,331.785
1471.295,343.428
1541.695,274.867
1640.981,380.492
1719.283,415.600
1768.861,474.800
1717.891,594.425
1779.557,695.883
1863.699,702.977
1886.877,773.452
1914.884,895.093
1929.370,969.429
1932.267,1166.372
1875.669,1212.222
1716.085,1223.338
1645.448,1329.384
1666.238,1521.121
1684.137,1618.600
1635.547,1671.330
1565.167,1637.927
1471.757,1694.314
1403.795,1819.331
1331.358,1879.252
1293.502,1880.894
1201.361,1833.157
1091.946,1818.834
914.531,1884.855
804.830,1887.982
618.274,1851.706
475.682,1810.911
357.315,1707.038
252.599,1603.263
178.729,1469.625
101.644,1323.697
60.637,1187.769
54.740,1169.685
215.752,1084.301
260.839,1032.004
258.949,945.431
197.357,870.838
159.087,854.855
144.424,844.493
162.263,825.014
128.502,766.834
196.718,652.345
197.076,534.703
255.926,489.676
336.236,406.400
353.177,385.977
479.947,342.492
516.225,251.204
653.547,256.528
768.775,196.644
803.250,145.580
793.580,101.324
841.704,127.705
853.636,208.705
867.388,326.079
926.270,367.761
956.017,390.113
1054.866,410.961
1108.107,435.351
1160.937,441.953
1185.427,362.286
1207.252,353.248
1223.131,350.513
1234.462,279.558
1192.966,238.174
1213.523,168.684
1275.400,171.795
1336.872,122.840
1361.423,208.663
1329.231,275.094
1260.406,426.142
1251.415,531.725
1288.126,615.554
1374.621,737.629
1478.947,846.592
1579.506,885.815
1692.757,900.420
1763.410,899.407
1883.749,896.421
1908.692,953.303
1853.422,1004.227
1802.910,1026.083
1800.381,1140.178
1799.299,1241.241
1758.076,1379.339
1800.789,1471.670
1700.400,1576.170
1700.126,1639.831
1615.670,1593.690
1585.002,1415.103
1561.116,1342.973
1462.930,1271.037
1425.494,1204.701
1330.254,1160.427
1299.954,1070.724
1178.972,1018.691
1059.204,1034.970
959.460,1044.676
843.245,1077.116
620.867,1616.037
572.636,1720.777
548.937,1766.941
516.940,1786.272
442.906,1767.735
380.994,1674.238
289.110,1566.280
240.855,1488.870
207.691,1456.340
204.641,1390.521
163.584,1261.807
125.348,1179.452
140.119,1081.627
103.819,1003.225
96.601,907.731
105.552,824.185
131.212,730.494
144.938,659.480
190.164,574.669
213.437,500.075
249.241,436.818
402.955,450.917
482.190,441.706
554.246,421.688
544.276,289.597
559.468,223.454
544.110,197.187
616.472,197.396
733.147,153.933
740.276,110.622
881.921,228.577
935.164,291.086
1048.365,269.737
1099.243,239.743
1152.473,171.650
1172.386,145.066
1241.654,161.560
1354.218,184.779
1418.176,167.906
1470.932,280.017
1590.700,327.765
1661.090,371.114
1729.003,392.404
1774.114,467.665
1800.883,486.480
1803.857,496.878
1752.474,592.766
1729.461,675.736
1840.797,732.528
1891.606,774.344
