trajectories1,trajectories2
1692.285,1626.840
1551.329,1741.431
1544.525,1752.065
1546.059,1758.206
1543.916,1766.121
1544.579,1772.534
1531.618,1786.026
1525.609,1795.507
1514.644,1730.964
1511.454,1742.318
1492.842,1751.244
1484.927,1757.694
1478.749,1765.830
1467.454,1770.443
1426.805,1784.536
1321.656,1808.297
1313.979,1813.776
1317.277,1813.647
1315.138,1815.487
1311.882,1803.188
1328.238,1775.933
1342.994,1769.160
1336.278,1808.798
1377.777,1778.702
1322.289,1750.842
1287.232,1737.267
1278.848,1733.546
1270.494,1740.159
1265.355,1746.635
1298.995,1735.164
1353.515,1731.114
1326.727,1727.380
1287.327,1712.064
1340.796,1630.158
1395.287,1552.754
1342.975,1469.702
1418.572,1375.506
1430.046,1335.832
1371.660,1365.097
1522.156,1417.595
1596.119,1290.005
1624.525,1211.327
1519.644,984.473
1456.381,872.665
1638.283,864.141
1805.327,777.517
1813.038,737.163
1690.966,736.650
1826.867,801.558
1863.557,728.455
1931.337,927.130
1831.265,731.702
1902.426,769.141
1994.799,1027.060
1907.599,1246.778
1883.949,1130.256
1985.377,1111.941
1892.737,1179.406
1816.546,947.408
1838.614,740.786
1724.498,667.947
1628.641,552.699
1599.677,529.768
1469.813,599.301
1389.041,718.665
1419.661,939.447
1684.436,888.567
1806.242,822.903
1927.753,681.578
1754.272,498.652
1636.382,356.047
1298.822,196.516
1085.584,203.373
987.731,289.606
890.783,411.915
779.189,283.205
791.860,202.564
1062.710,279.923
1217.209,229.028
1313.953,176.424
1151.815,66.592
1489.127,209.571
1669.634,374.841
1519.902,200.013
1234.818,79.929
699.976,180.520
780.188,141.331
729.178,152.277
990.082,154.462
1086.107,126.025
1141.476,79.651
1319.393,113.543
1710.071,473.029
1550.211,225.186
971.412,83.255
746.983,138.985
745.839,110.709
1016.229,66.029
1185.068,139.966
1062.019,113.690
1220.759,82.224
836.755,85.252
399.720,304.611
401.450,590.557
335.027,765.886
886.225,439.311
1190.208,202.815
922.122,142.519
693.313,124.075
502.837,219.448
1068.580,45.654
1254.348,99.182
1466.562,228.416
1223.367,149.075
910.991,80.980
312.928,366.743
212.378,577.531
212.715,509.921
423.655,328.029
514.522,251.369
708.031,189.616
475.056,218.718
770.436,101.944
1081.623,56.166
1378.320,138.141
1553.911,348.878
1660.783,539.853
1802.489,470.075
1464.106,248.637
1262.928,159.576
1040.142,90.046
761.018,100.505
476.027,285.101
159.689,569.056
110.051,1070.542
147.094,1339.103
178.835,1056.236
237.084,825.744
173.762,688.009
251.126,532.483
386.290,308.703
538.568,235.711
528.468,285.652
308.608,463.075
407.349,294.877
619.756,152.893
747.789,132.792
960.382,115.307
726.653,139.356
412.374,282.978
147.138,712.806
62.898,1164.881
252.319,1522.992
407.985,1776.451
616.710,1737.471
496.540,1835.013
375.402,1659.225
311.568,1599.448
364.489,1707.104
244.000,1413.795
126.231,1059.112
198.626,890.844
207.976,744.245
178.396,559.606
646.241,165.960
678.517,167.221
678.811,166.674
725.186,155.434
807.248,144.193
478.876,288.342
338.174,492.804
367.633,321.056
612.746,213.751
765.322,125.190
1047.710,125.545
882.449,139.862
650.415,198.212
399.937,495.847
285.237,590.719
327.072,412.246
484.946,277.730
298.010,447.691
460.091,273.194
579.429,207.477
728.967,213.140
628.868,190.832
789.044,128.425
971.253,70.229
1122.359,118.459
1420.680,128.068
1232.318,88.784
889.826,137.697
978.618,85.440
787.332,120.015
740.713,107.944
1038.972,106.291
1249.496,81.423
1047.227,143.271
932.687,72.993
1012.729,77.390
733.637,211.778
789.202,99.110
913.188,131.919
825.084,105.494
1173.610,118.548
1312.374,169.938
988.178,69.258
767.704,132.498
641.343,190.423
