trajectories1,trajectories2
533.182,1428.930
496.636,1285.534
385.573,1348.487
307.185,1465.586
262.125,1539.001
371.981,1518.242
364.739,1374.691
383.301,1309.636
588.429,1316.825
753.199,1188.811
818.076,1075.356
904.303,927.627
1012.873,868.069
1090.036,787.069
1094.469,621.541
1155.388,572.818
1222.937,560.654
1308.640,627.275
1352.347,713.617
1413.683,814.787
1470.218,879.980
1602.720,883.511
1738.012,879.874
1793.195,826.891
1838.480,856.107
1821.021,926.382
1789.752,1031.934
1673.671,1097.412
1610.904,1182.651
1575.381,1278.823
1370.131,1262.501
989.906,1008.358
758.824,960.029
623.313,953.843
617.928,953.947
616.827,953.977
617.874,954.193
618.831,954.417
618.441,954.409
619.994,954.189
619.948,954.127
622.077,954.895
623.683,954.732
619.148,957.420
621.199,957.072
639.197,973.965
645.298,990.658
647.529,994.791
648.539,1045.722
582.730,1117.532
728.541,1185.774
840.242,1198.047
908.299,1232.515
998.522,1323.619
967.679,1438.859
944.062,1459.295
1025.301,1536.251
1086.449,1474.378
1153.542,1430.352
1223.810,1308.912
1117.101,1052.149
1037.327,1000.002
1005.675,1073.911
1011.005,1164.940
1074.980,1231.662
1151.253,1304.969
1080.677,1371.644
958.318,1360.890
973.024,1303.181
935.550,1154.182
962.524,1044.854
928.478,917.397
896.905,771.474
903.252,715.437
891.516,876.566
799.016,1019.446
750.543,1097.208
661.095,1030.586
571.082,971.547
459.804,976.693
354.650,1023.819
274.366,1003.038
190.695,1024.728
105.433,1033.010
94.550,1100.948
139.273,1200.315
211.235,1292.601
368.726,1363.482
502.706,1348.000
602.283,1431.672
575.788,1623.698
553.108,1734.332
542.790,1818.291
612.867,1830.050
714.529,1725.912
919.432,1760.166
1041.991,1694.032
1144.170,1564.572
1132.256,1472.811
1125.625,1457.559
1216.075,1358.157
1275.412,1293.075
1303.246,1205.147
1348.937,1116.938
1440.062,1090.959
1507.394,1172.382
1390.393,1298.887
1237.499,1379.845
1087.435,1450.072
941.615,1554.180
797.030,1564.521
715.622,1514.061
565.150,1428.189
540.423,1321.067
493.305,1200.851
464.986,1123.888
341.350,1039.917
242.989,1025.791
210.705,968.121
174.558,933.863
85.775,1002.589
196.207,1164.973
271.449,1313.450
438.512,1306.993
587.359,1374.128
665.473,1495.721
706.078,1555.401
809.802,1594.317
880.100,1618.973
915.523,1445.446
863.412,1285.286
663.690,1263.651
518.205,1219.393
363.240,1199.293
253.014,1250.887
168.392,1331.065
131.955,1369.756
176.285,1465.425
224.791,1578.110
296.426,1655.802
472.159,1684.801
567.708,1633.015
618.087,1524.600
624.247,1461.645
588.075,1427.741
515.413,1328.521
353.745,1280.338
254.014,1337.950
183.026,1404.265
190.162,1435.968
198.476,1359.484
262.695,1266.270
175.012,1135.185
100.673,1149.768
257.685,1238.870
458.361,1254.806
618.067,1195.125
813.654,1144.002
889.204,1045.527
865.151,942.599
880.322,798.036
847.789,636.660
768.255,511.632
792.572,393.540
869.658,265.459
983.100,201.570
1121.966,183.964
1274.589,321.070
1390.421,418.356
1445.505,530.988
1540.455,632.030
1603.316,712.068
1638.537,887.525
1617.607,1050.111
1552.702,1094.133
1464.140,1213.861
1406.914,1223.843
1358.283,1270.567
1249.744,1333.935
1127.391,1433.573
959.945,1426.738
820.176,1362.099
790.211,1266.687
578.323,1156.205
536.668,1069.586
454.321,973.339
289.680,923.327
152.516,904.678
78.987,933.699
53.533,1019.023
52.014,1057.325
98.825,1113.775
223.622,1274.699
181.651,1397.626
258.737,1509.409
352.914,1630.574
469.769,1743.098
677.249,1792.084
834.551,1832.069
1023.744,1777.906
1148.708,1651.977
1281.150,1471.645
1121.945,1389.216
909.597,1494.822
904.567,1591.372
795.598,1626.749
608.626,1549.894
405.347,1556.720
351.153,1512.661
